0,Date,Time,Weather,Social Stats Opportunities,Confidants Available,Confidants Available 2,Stores & Sales,Metaverse,Extra,Recommended Actions
,5/1,SUNDAY,Clear,"Aojiru +1 Proficiency

Shibuya Theater - The Cake Knight 
Rises +3 Kindness","Takemi - Death
Ryuji - Chariot",,"Supermarket sale in Yongen

TV Sale:
Military Ration Set
Muscle Workout Set","Palace Available

PLAN EXECUTION 
DEADLINE
(Steal the Treasure) ","Midterm on 5/11 Knowledge Rank 2 to pass, 
Rank 3 for Top Ten in Class.

Joker Appreciation Day","Purchase The Muscle Workout Set,
Aojiru and Bio Nutrients.

Advance Chariot to Rank 3"
,,Daytime,,,,,,,,
,,Evening,Clear,Medicinal Bath +3 Charm,,,,N/A,"Ryuji will invite you to this months
movie on 5/29 so wait until then to
also improve your relationship with
him",Brew some Coffee
,5/2,MONDAY,Clear,Cutscene,Cutscene,,Cutscene,Cutscene,Cutscene,Cutscene
,,After School,,,,,,,,
,,Evening,Clear,"Crossword +1 Knowledge
Call in at Ore No Beko +3 Proficiency",,,Weekly Restock,N/A,,"Crossword Puzzle

Watch Guy McVer"
,5/3,TUESDAY,Clear,Cutscene,Cutscene,,Cutscene,Cutscene,Golden Week - Constitutional Memorial Day,Cutscene
,,Daytime,,,,,,,,
,,Evening,Cloudy,,,,,N/A,,Finish Watching Guy McVer
,5/4,WEDNESDAY,Cloudy,Restricted,Restricted,,Restricted,Restricted,"Golden Week - Greenery Day

May the Fourth be with you.",Restricted
,,Daytime,,,,,,,,
,,Evening,Cloudy,,,,,N/A,,Clean up Leblanc
,5/5,THURSDAY,Cloudy,Restricted,Restricted,,Restricted,Restricted,Golden Week - Children's Day,Restricted
,,Daytime,,,,,,,,
,,Evening,Clear,Plant Care +1-2 Kindness,,,,N/A,,"Feed your plant that good stuff

Clean up Leblanc"
