0,1,2,3,4,5,6,7,8,9,10
,   June,,,,,,,,,
,Velvet Room,,,Last Month,,,,,Item List,Next Month
,Date,,Weather,Social Stats Opportunities,Confidants Available,,Stores & Sales,Metaverse,Extra,Recommended Actions
,6/1,WEDNESDAY,"Clear

Pollen
Warning","Shibuya Theater - The Cake Knight 
Rises +3 Kindness","Takemi - Death
Ryuji - Chariot
Ann - Lovers",,"Summer Seasonal items 
now available.
New Book at Bookstore 
New Accessories at 
Untouchable","Palace & Mementos
Available

4 Days until Deadline","A lot of guides are posting that Speed Reading
is available on this date. But most forum posts
are saying next month. So to be safe we're
going to check daily until we get it.",Advance Chariot to Rank 5
,,After School,,,,,,,,
,,Evening,"Clear

Pollen
Warning",Leftover Curry Ingredients +1 Guts,"Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,"Street Accessories restocked
and available",N/A,"That Journalist is hanging around in
Central Square","Buy Medjed Menace

Take the Big Bang Challenge"
,6/2,THURSDAY,"Clear

Pollen
Warning",New DVDs available,"Takemi - Death
Ann - Lovers",,,"Palace & Mementos
Available

3 Days until Deadline
Treasure Room Deadline",,Apply and Work at the Flower Shop
,,After School,,,,,,,,
,,Evening,Clear,"TV Quiz +1 Knowledge 
Call in at Ore No Beko +3 Proficiency","Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,Street Accessories Available,N/A,,"TV Quiz Tonight

Work Yakiniku Day at Ore No Beko"
,6/3,FRIDAY,Cloudy,"Can Read a Book on the Train 

Can Slack off in Class 
  (Temperance Rank 1)","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor",,Yakisoba Pan at School Store,"Palace & Mementos
Available

2 Days until Deadline
Calling Card Deadline",,"Read Social Thought, Then
listen to the lecture

Advance Councillor to Rank 4"
,,After School,,,,,,,,
,,Evening,Cloudy,"Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,Street Accessories Available,N/A,,"Do the Crossword

Spend Time with Kawakami"
,6/4,SATURDAY,Rain,Class Question +1 Knowledge,"Takemi - Death
Ryuji - Chariot
Ann - Lovers",,Rainy Day Items Available,"Palace & Mementos
Available

Plan Execution Deadline","Journalist sighted at Yon-Germain, 
next to the accessway hideout.","Study at the diner and order
Suprise Sando"
,,After School,,,,,,,,
,,Evening,Cloudy,,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,,N/A,,Advance Temperance to Rank 4
,6/5,SUNDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,"New Request
Available",Kichijoji Unlocked,"Talk to the info lady in a small booth on your
right when you enter Kichijoji. Ask about
everything and gain a free knowledge point.
If you got cash buy 4 packs of Insense."
,,Daytime,,,,,,,,
,,Evening,Clear,"Aojiru +1 Charm
Medicated Bath +3 Charm
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,,N/A,,"Investigat that rumored old man in Kichijoji
Buy some Aojiru

Advance Sun to Rank 2"
,6/6,MONDAY,Rain,Dodge Murderous Chalk +2 Charm,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor",,"Weekly Restock
Rainy Day Items Available
","Mementos Available

New Request
Available","Exam on 7/13 Knowledge Level 3 to pass.

Watch out for stalkers in the halls.","Dodge Murder Chalk

Advance Councillor to Rank 5"
,,After School,,,,,,,,
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
",,Street Accessories Available,N/A,"New ""Special Assignments"" from the Twins","Feed your plant some Nutrients

Take the Twins to Big Bang Burger"
,6/7,TUESDAY,Rain,"Class Question +1 Knowledge
Double Points at 777 +Charm","Takemi - Death
Ryuji - Chariot
Maruki - Councillor",,Rainy Day Items Available,Mementos Available,,Work at Triple Seven
,,After School,,,,,,,,
,,Evening,Cloudy,Crossword +1 Knowledge,"Yoshida - Sun
Mishima - Moon
",,"Retro Game Set available at 
Secondhand shop in Yongen",N/A,,"Finish the Crossword

Finish watching Bubbly Hills, 90210"
,6/8,WEDNESDAY,Clear,Class Question +1 Knowledge,"Takemi - Death
Maruki - Councillor
Kasumi - Faith",,,Mementos Available,New confidant available,"Return Bubbly Hills, 90210 and exchange
for Not-so-hot Betsy

Advance Faith to Rank 2"
,,After School,,,,,,,,
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
",,,N/A,,Take the Big Bang Challenge
,6/9,THURSDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,"Pancakes?

Dome Town Unlocked",CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,,"Iwai - Hanged Man
Yoshida - Sun

",,,N/A,,Watch Not-so-hot Betsy
,6/10,FRIDAY,Clear,CUTSCENE,Justice Arcana Initiated,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Yoshida - Sun
Mishima - Moon
Kawakami - Temp",,,N/A,,Advance Temperance to Rank 5
,6/11,SATURDAY,Cloudy,CUTSCENE,Restricted,,Restricted,Restricted,I hope you cleaned your room,Restricted
,,After School,,,,,,,,
