0,1,2,3,4,5,6,7,8,9,10
, July,,,,,,,,,
,Velvet Room,,,Last Month,,,,,Item List,Next Month
,Date,,Weather,Social Stats Opportunities,Confidants Available,,Stores & Sales,Metaverse,Extra,Recommended Actions
,7/1,FRIDAY,Clear,"Can Read a Book on the Train 
Class Question +1 Knowledge
Shinjuku Theater +3 Guts
Shibuya Theater +3 Charm","Takemi - Death
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor
Makoto - Priestess",,"Yakisoba Pan at School Store
Frui-tie (+Charm) now 
available at the Diner
New book in Shibuya
Speed Reader at Library","Palace & Mementos
Available

8 Days until Deadline",Mammoth Lottery Available,"Finish The ABC's of Crafting
Borrow Speed Reading
Summon a Lovers Arcana Persona

Advance Lovers to Rank 7"
,,After School,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil
Hifumi - Star","Chariot Rank 7 
Event Available",Street Accessories Restocked,N/A,,Advance Temperance to Rank 9
,7/2,SATURDAY,Cloudy,"Can Slack off in another teachers 
class (Temperance Rank 5)
","Takemi - Death
Yusuke - Emperor
Makoto - Priestess",,,"Palace & Mementos
Available

7 Days until Deadline","Finals on 7/13 Need Knowledge Rank 3 to pass
Rank 4 for top 10

Trader Sakai wants Yakisoba Pan until 7/2","Read Speed Reader then exchange it
for The Alluring Dancer

Advance Priestess to Rank 3"
,,After School,,,,,,,,
,,Evening,Cloudy,Call in at Ore No Beko +3 Proficiency,"Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil
Hifumi - Star",,,N/A,,"Summon a Justice Arcana Persona

Advance Justice to Rank 3"
,7/3,SUNDAY,Clear,Aojiru +1 Kindness,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess",,"TV Shopping
Body Building Set - 12,800yen
Calm Mind Set - 12,800yen

Healing items in Kanda","Palace & Mementos
Available

6 Days until Deadline",,"Buy the Body Building Set and Aojiru 
Buy a ticket for the Mammoth Lotto

Advance Priestess to Rank 4"
,,Daytime,,,,,,,,
,,Evening,Clear,"Aojiru +1 Kindness
Medicated Bath +3 Charm","Yoshida - Sun
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",Hifumi - Star,"TV Shopping
Body Building Set - 12,800yen
Calm Mind Set - 12,800yen
Chunky Katsu in Kichijoji
Healing items in Kanda",N/A,,Advance Sun to Rank 5
,7/4,MONDAY,"Rain

Rainy
Season","Can Read a Book on the Train
Class Question +1 Knowledge
","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor",,"Weekly Restock
Rainy Day Items Available","Palace & Mementos
Available

5 Days until Deadline",,"Read through the Alluring Dancer
Then Buy Every Book in Shibuya

Advance Emperor to Rank 2"
,,After School,,,,,,,,
,,Evening,Cloudy,,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune","Ohya - Devil
Hifumi - Star
Takemi - Death","Street Accessories Available
TV Delivery",N/A,,Advance Moon to Rank 3
,7/5,TUESDAY,Cloudy,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess",,,"Palace & Mementos
Available

4 Days until Deadline",,"Exchange The Alluring Dancer for
The Illusory Popess

Advance Priestess to Rank 5"
,,After School,,,,,,,,
,,Evening,Cloudy,,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune","Ohya - Devil
Hifumi - Star
",Street Accessories Available,N/A,,Confront Iwai about the Paper Bag
,7/6,WEDNESDAY,"Rain

Rainy
Season","Can Slack off in another teachers 
class (Temperance Rank 5)
","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,Rainy Day Items Available,"Palace & Mementos
Available

3 Days until Deadline
Treasure Room Deadline",,"Read through The Art of Charm

Hang out with Ann at the Wilton Hotel"
,,After School,,,,,,,,
,,Evening,"Rain

Rainy
Season",Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Ohya - Devil
Hifumi - Star","Chariot Rank 7 
Event Available",Rainy Day Items Available,N/A,,Max the Temperance Arcana Confidant
,7/7,THURSDAY,Cloudy,"Class Question +1 (+2) Ann 
+1 Charm
Double Points at 777 +Charm","Takemi - Death
Kasumi - Faith
Yusuke - Emperor",,,"Palace & Mementos
Available

2 Days until Deadline
Calling Card Deadline",Tanabata or Star Festival.,Advance Faith to Rank 4
,,After School,,,,,,,,
,,Evening,Cloudy,Crossword +1 Knowledge,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",Hifumi - Star,Street Accessories Available,N/A,,"Solve a Crossword Puzzle

Advance Moon to Rank 4"
,7/8,FRIDAY,Clear,"Can Read a Book on the Train
","Takemi - Death
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor
Makoto - Priestess",,Yakisoba Pan at School Store,"Palace & Mementos
Available

Plan Execution Deadline",,"Read Through The Craft of Cinema

Check in on Takemi"
,,After School,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil
Hifumi - Star",,Street Accessories Available,N/A,,"Feed your plant MEGA Fertilizer
Call Kawakami to do your Laundry
Buy some more Mega Fertilizer

Meet up with that Journalist again"
,7/9,SATURDAY,Clear,Class Question +1 Knowledge,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Cloudy,,"Iwai - Hanged Man
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune
Hifumi - Star",,,N/A,,"Call Kawakami to do your Laundry

Advance Hanged to Rank 2"
,7/10,SUNDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,N/A,,"Call Kawakami to cook for you

Craft some lockpicks and a Goho-m"
,7/11,MONDAY,Cloudy,"Class Question +1 Knowledge
Dodge Murderous Chalk +2 Charm",CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,Dodge Murder Chalk
,,After School,,,,,,,,
,,Evening,Cloudy,"Leftover Curry Ingredients +1 Guts
Study w/ Ann +3 Knowledge","Sojiro - Hierophant
Mishima - Moon
Chihaya - Fortune
Ohya - Devil
Hifumi - Star",,"Street Accessories Available
Weekly Restock
New Accessories at
Untouchable",N/A,Trader Sakai wants Soothing Soba until 7/12,"Call Kawakami to do your Laundry
Trade with Trader Sakai

Advance Moon to Rank 5"
,7/12,TUESDAY,Clear,"Class Question +1 Knowledge
Study w/ Makoto +3 Knowledge","Takemi - Death
Ryuji - Chariot
Yusuke - Emperor",,,Mementos Available,"Finals Tomorrow requires 
Knowledge Rank 3 to pass. ",Advance Emperor to Rank 3
,,After School,,,,,,,,
,,Evening,Cloudy,"Crossword +1 Knowledge
Study w/ Ryuji +3 Knowledge","Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice","Chihaya - Fortune
Ohya - Devil",Street Accessories Available,N/A,Trader Sakai wants Soothing Soba until 7/12,"Talk to the ""Shogi Queen"" in Kanda"
,7/13,WEDNESDAY,Clear,Answers inside the note -------->,Tests,,Tests,Tests,Tests,Tests
,,After School,,,,,,,,
,,Evening,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,7/14,THURSDAY,Clear,Answers inside the note -------->,Tests,,Tests,Tests,Tests,Tests
,,After School,,,,,,,,
,,Evening,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,7/15,FRIDAY,Cloudy,Answers inside the note -------->,Tests,,Tests,Tests,Tests,Tests
,,After School,,,,,,,,
,,Evening,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,7/16,SATURDAY,Clear,"Knowledge Skill Check
Minimum level 3 to Pass.
Rank 4 to reach top 10",CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Rain,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,REALLY SLEEP? NOW?
,7/17,SUNDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
