0,Date,Time,Weather,Social Stats Opportunities,Confidants Available,Confidants Available 2,Stores & Sales,Metaverse,Extra,Recommended Actions
,8/1,MONDAY,"Torrential
Rain",Read w/ Yusuke +3 Charm,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,"Weekly Restock

New Items available in stores
New DVDs available to rent","Palace & Mementos
Available

20 Days until Deadline","Advanced Batting Machines Available
(Might have been added at an eariler date)",Try the Batting Cages in Yongen
,,Daytimel,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Mishima - Moon
Chihaya - Fortune
Ohya - Devil
Hifumi - Star",Hang w/ Yusuke,Street Accessories Available,N/A,,"Buy some books in Shibuya and Shinjuku

Buy the Holy Stone for 100,000 yen"
,8/2,TUESDAY,"Clear

Heat
Wave",,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess",,,"Palace & Mementos
Available
New Request 

19 Days until Deadline",,"Summon a Chariot Arcana Persona

Advance Chariot to Rank 8"
,,Daytime,,,,,,,,
,,Evening,Clear,Call in at Ore No Beko +3 Proficiency,"Sojiro - Hierophant
Yoshida - Sun
Mishima - Moon
Akechi - Justice
Chihaya - Fortune","Ohya - Devil
Hifumi - Star",Street Accessories Available,N/A,,"Confront Chihaya about the ""Holy Salt"""
,8/3,WEDNESDAY,"Torrential
Rain",Watch a DVD with Ryuji +3 Charm,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,,"Palace & Mementos
Available
New Request

18 Days until Deadline",,Work at the Flower Shop
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",Crossword +1 Knowledge,"Iwai - Hanged Man
Kawakami - Temp
Ohya - Devil
Hifumi - Star",Hang w/ Ryuji,,N/A,,"Finish the Crossword
Summon a Hanged Man Arcana Persona

Advance Hanged Man to Rank 3"
,8/4,THURSDAY,"Clear

Heat
Wave","Read w/ Yusuke +3 Charm
TV Quiz +1 Knowledge
","Takemi - Death
Kasumi - Faith
Yusuke - Emperor
Makoto - Priestess",Hang w/ Yusuke,,"Palace & Mementos
Available
New Request

17 Days until Deadline",,Work at the Flower Shop
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",TV Quiz +1 Knowledge,"Sojiro - Hierophant
Iwai - Hanged Man
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",Hifumi - Star,Street Accessories Available,N/A,Leftovers in the Fridge,"Take the TV Quiz

Look for work at Crossroads Bar"
,8/5,FRIDAY,Cloudy,,"Takemi - Death
Ryuji - Chariot
Makoto - Priestess",,,"Palace & Mementos
Available

16 Days until Deadline",,Advance Chariot to Rank 9
,,Daytime,,,,,,,,
,,Evening,Clear,"Leftover Curry Ingredients +1 Guts
Movie w/ Yusuke + 3 Charm","Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",Hifumi - Star,Street Accessories Available,N/A,,Work at Crossroads
,8/6,SATURDAY,"Clear

Heat 
Wave",Call in at Rafflesia +Kindness,"Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor",,,"Palace & Mementos
Available

15 Days until Deadline",,Max the Chariot Arcana Confidant
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune",Hifumi - Star,,N/A,,Advance Hanged to Rank 4
,8/7,SUNDAY,"Clear

Heat
Wave","Aojiru +1 Proficiency
Double Points at 777 +Charm","Takemi - Death
Ann - Lovers
Kasumi - Faith
Yusuke - Emperor
Makoto- Priestess",,"TV Shopping
Phantom Thief Set -8.980yen?
Heroic Set - 7,980yen?
Potent Healing items for sale
at the Church in Kanda","Palace & Mementos
Available

14 Days until Deadline",Trader Sakai wants Exorcism Water until 8/13,"Buy some Aojiru

Work at Triple Seven"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night","Aojiru +1 Proficiency
Medicated Bath +3 Charm
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",,"TV Shopping
Phantom Thief Set -8.980yen?
Heroic Set - 7,980yen?

Chunky Katsu in Kichijoji",N/A,,"Make a deal with Trader Sakai

Advance Sun to Rank 8"
,8/8,MONDAY,Cloudy,DVD with Yusuke +3 Charm,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess",,Weekly Restock,"Palace & Mementos
Available

13 Days until Deadline",,Max the Lovers Arcana Confidant
,,Daytime,,,,,,,,
