0,1,2,3,4,5,6,7,8,9,10
,September,,,,,,,,,
,Velvet Room,,,Last Month,,,,,Item List,Next Month
,Date,,Weather,Social Stats Opportunities,Confidants Available,,Stores & Sales,Metaverse,Extra,Recommended Actions
,9/1,THURSDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Iwai - Hanged Man
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",,"New Items Available
New Phantom Thief 
Themed Items in Stores
New Drinks in 
Vending Machines",N/A,"Next Midterm is 10/17 Level 4 
 Knowledge needed.

Want a stuffed toy for your room? Try out the
Crane Game at the Akihabara Arcade ","Buy the Broken Laptop at the Secondhand
Buy the PC Tool Set in Akihabara

Spend time with Chihaya"
,9/2,FRIDAY,Cloudy,"The Return of MURDER CHALK
+2 Charm","Takemi - Death
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor
Futaba - Hermit",,"Yakisoba Pan at School Store
Autumn Bread at School Store",Mementos Available,"New Confidant Available
Jack Frost Toy at Akihabara Arcade 

Maruki is still locked at Rank 5","Summon Kurama Tengu (or any Hermit)

Advance Hermit to Rank 2"
,,After School,,,,,,,,
,,Evening,Cloudy,"Call in at Ore No Beko +3 Proficiency
Crossword +1 Knowledge
Yongen Movie Theater:
Showtime Redemption +3 Charm","Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Ohya - Devil",,,N/A,"Might be the earilest you can access the 
Movie Theater in Yongen","Summon a Devil Arcana Persona 

Advance Devil to Rank 4"
,9/3,SATURDAY,Cloudy,Class Question +1 Knowledge,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,Call in from Crossroads +Kindness,"Iwai - Hanged Man
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune
Hifumi - Star",,,N/A,"Suprise Pancake Boi in Lablanc
Justice Locked to Rank 6

""Maid Day"" at the Maid Cafe","Summon a Hanged Arcana Persona
Send a Calling Postcard to Iwai
(The Cards are on Central Street)

Advance Justice to Rank 6"
,9/4,SUNDAY,Clear,Aojiru +1 Knowledge,"Takemi - Death
Futaba - Hermit",,"Potent Healing items for sale
at the Church in Kanda","Mementos Available
New Request
Available",Trader Sakai wants Phantom Wafers until 9/6,"Investigate the Arcade in Shibuya
Buy some Aojiru

Dive into Mementos"
,,Daytime,,,,,,,,
,,Evening,Clear,"Aojiru +1  Knowledge
Medicated Bath +3 Charm
Leftover Curry Ingredients +1 Guts
","Iwai - Hanged Man
Yoshida - Sun
Chihaya - Fortune
Ohya - Devil",,Chunky Katsu in Kichijoji,N/A,,"Call Kawakami for a massage

Advance Fortune to Rank 4"
,9/5,MONDAY,Cloudy,,"Takemi - Death
Maruki - Councillor
Futaba - Hermit
Shinya - Tower ",,Weekly Restock,Mementos Available,New Confidant Available,"Make a deal with Trader Sakai

Advance Hermit to Rank 3"
,,After School,,,,,,,,
