0,1,2,3,4,5,6,7,8,9,10
,October,,,,,,,,,
,Velvet Room,,,Last Month,,,,,Item List,Next Month
,Date,,Weather,Social Stats Opportunities,Confidants Available,,Stores & Sales,Metaverse,Extra,Recommended Actions
,10/1,SATURDAY,Clear,Call in at Rafflesia +Kindness,"Takemi - Death
Ryuji - Chariot
Maruki - Councillor
Makoto - Priestess
Futaba - Hermit",Shinya - Tower ,,"Palace & Mementos
Available

10 Days until Deadline","Outfit Swap
Next Midterm is 10/17 Level 4 Knowledge to
Pass
""Maid Day"" at the Maid Cafe",Advance Tower to Rank 5
,,After School,,,,,,,,
,,Evening,Clear,,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune",,,N/A,"11/15 is the last opportunity to Rank 
up Yoshida The Sun Confidant

Expert level unlocked at Yongen Batting
Cages","Get a Luck Reading from Chihaya
to increase Guts

Finish a level in Power Intuition"
,10/2,SUNDAY,Cloudy,Aojiru +1 Proficiency,"Takemi - Death
Yusuke - Emperor
Makoto - Priestess
Futaba - Hermit
Shinya - Tower ",,"TV Shopping:
Pumpkin Ghost Set-14,800yen
Ghost Repellent Set -9,980yen ","Palace & Mementos
Available

9 Days until Deadline",Trader Sakai wants Calling Postcard until 10/8,"Buy some Aojiru 
Make a deal with Trader Sakai

Advance Emperor to Rank 8"
,,Daytime,,,,,,,,
,,Evening,Cloudy,"Aojiru +1 Proficiency
Call in at Ore No Beko +3 Proficiency
Call in at Crossroads +Kindness
Move w/ Futaba +3 Knowledge
Leftover Curry Ingredients +1 Guts
Medicated Bath +3 Charm","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",,"TV Shopping:
Pumpkin Ghost Set-14,800yen
Ghost Repellent Set -9,980yen

Chunky Katsu in Kichijoji",N/A,,"Buy Mega Fertilizer

Advance Fortune to Rank 6"
,10/3,MONDAY,Clear,Class Question +1 Knowledge,Restricted,,Restricted,Restricted,Restricted,Restricted
,,After School,,,,,,,,
,,Evening,Cloudy,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,10/4,TUESDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess
Shinya - Tower ",,"New Book In Shibuya 
Bookstore","Palace & Mementos
Available

7 Days until Deadline",,"Get a Luck Reading from Chihaya
to increase Guts
Go sit on the Fancy Couch in Kichojoji
Read Woman in the Dark in the Library"
,,After School,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune",Ohya - Devil,,N/A,,"Buy Nakano Walker

Go with Iwai to his back alley meeting"
,10/5,WEDNESDAY,Clear,"Can Slack off in another teachers 
class (Temperance Rank 1)","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor
Kasumi - Faith","Futaba - Hermit
Shinya - Tower ",,"Palace & Mementos
Available

6 Days until Deadline",,"Read Learn Pro Darts

Advance Councillor to Rank 7"
,,After School,,,,,,,,
,,Evening,Rain,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice","Ohya - Devil
Hifumi - Star
Takemi - Death",,N/A,,See whats wrong with Hifumi
,10/6,THURSDAY,Clear,"Can Read a book on the train
Class Question +1 Knowledge","Takemi - Death
Makoto - Priestess
Futaba - Hermit
Shinya - Tower ",,,"Palace & Mementos
Available

5 Days until Deadline",,"Read Batting Science

Advance Tower to Rank 6"
,,After School,,,,,,,,
,,Evening,Clear,Crossword +1 Knowledge,"Sojiro - Hierophant
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",,,N/A,,"Crossword Time

Spend time with Chihaya"
,10/7,FRIDAY,Clear,Double Points day at 777 +Charm,"Takemi - Death
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor
Futaba - Hermit",,Yakisoba Pan at School Store,"Palace & Mementos
Available

4 Days until Deadline",,Advance Councillor to Rank 8
,,After School,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Mishima - Moon
Kawakami - Temp
Ohya - Devil
Takemi - Death
Darts w/ Futaba","Chariot Rank 7 
Event Available",,N/A,,Take the Twins to the Church
,10/8,SATURDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Maruki - Councillor
Makoto - Priestess
Shinya - Tower ",,,"Palace & Mementos
Available

3 Days until Deadline
Treasure Room Deadline","Trader Sakai wants Calling Postcard until 10/8
""Maid Day"" at the Maid Cafe",Explore Nakamise Street with Shinya
,,After School,,,,,,,,
,,Evening,Clear,,"Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp
Akechi - Justice","Chihaya - Fortune
Ohya - Devil
Hifumi - Star",,N/A,,Read Fishpond Spotter
,10/9,SUNDAY,Clear,Aojiru +1 Guts,"Takemi - Death
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess
Hang w/ Futaba",,"Potent Healing items for sale
at the Church in Kanda","Palace & Mementos
Available

2 Days until Deadline
Calling Card Deadline",,Advance Emperor to Rank 9
,,Daytime,,,,,,,,
